# Region type : patch outlet
# Faces         : 20
# Area          : 4.36243709e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(p)	weightedAverage(U)	weightedAverage(T)
26600           	1.01325000e+05	(1.06097604e+00 -4.15258911e-07 1.26329891e-12)	3.99982971e+02
26700           	1.01325000e+05	(1.06097471e+00 2.44275517e-07 1.24851035e-12)	3.99982971e+02
26800           	1.01325000e+05	(1.06097749e+00 6.35641356e-07 1.24580457e-12)	3.99982971e+02
26900           	1.01325000e+05	(1.06097984e+00 2.67937747e-08 1.26419540e-12)	3.99982971e+02
27000           	1.01325000e+05	(1.06097816e+00 -4.62477424e-07 1.25758399e-12)	3.99982971e+02
27100           	1.01325000e+05	(1.06097614e+00 -2.23167948e-07 1.24552515e-12)	3.99982971e+02
27200           	1.01325000e+05	(1.06097667e+00 4.80665275e-08 1.24377011e-12)	3.99982971e+02
27300           	1.01325000e+05	(1.06097736e+00 -1.92683680e-07 1.26516623e-12)	3.99982971e+02
27400           	1.01325000e+05	(1.06097585e+00 -2.22742815e-07 1.25854914e-12)	3.99982971e+02
27500           	1.01325000e+05	(1.06097554e+00 1.91426965e-07 1.23981472e-12)	3.99982971e+02
27600           	1.01325000e+05	(1.06097696e+00 3.38575009e-07 1.23736414e-12)	3.99982971e+02
27700           	1.01325000e+05	(1.06097851e+00 2.21567569e-07 1.24492294e-12)	3.99982971e+02
27800           	1.01325000e+05	(1.06097896e+00 -2.14062612e-07 1.24866058e-12)	3.99982971e+02
27900           	1.01325000e+05	(1.06097686e+00 -3.55932709e-07 1.24260482e-12)	3.99982971e+02
28000           	1.01325000e+05	(1.06097575e+00 1.05145887e-07 1.23061685e-12)	3.99982971e+02
28100           	1.01325000e+05	(1.06097722e+00 4.76768862e-07 1.24056187e-12)	3.99982971e+02
28200           	1.01325000e+05	(1.06098016e+00 2.41773237e-07 1.23672734e-12)	3.99982971e+02
28300           	1.01325000e+05	(1.06098045e+00 -6.67853263e-07 1.24955764e-12)	3.99982971e+02
28400           	1.01325000e+05	(1.06097618e+00 -9.97795655e-07 1.26200444e-12)	3.99982971e+02
28500           	1.01325000e+05	(1.06097234e+00 -3.62174306e-07 1.24398842e-12)	3.99982971e+02
